,coh,di,dotmode,dur,ntrials,pc,se,subj
70,0.06,22,3d,3.966666666666667,237,0.7011308016877638,0.03012396623359911,ALL
71,0.06,23,3d,4.866666666666666,332,0.5725753012048194,0.027365667020037815,ALL
72,0.03,0,3d,0.03333333333333333,1094,0.5392285191956124,0.014366483053416711,ALL
73,0.03,1,3d,0.05,1295,0.49830115830115834,0.013182383780084907,ALL
74,0.03,2,3d,0.06666666666666667,1158,0.47781088082901557,0.014856105142579465,ALL
75,0.03,3,3d,0.08333333333333333,946,0.5569270613107822,0.016666203617463304,ALL
76,0.03,4,3d,0.1,909,0.48667106710671065,0.016591614099409166,ALL
77,0.03,5,3d,0.11666666666666667,1248,0.522275641025641,0.014614661173876395,ALL
78,0.03,6,3d,0.15,1012,0.5496610671936758,0.01557085441039022,ALL
79,0.03,7,3d,0.18333333333333332,810,0.5287617283950617,0.017651351395424706,ALL
80,0.03,8,3d,0.21666666666666667,1231,0.5059666937449229,0.014200166079928975,ALL
81,0.03,9,3d,0.26666666666666666,1104,0.5555480072463769,0.014802632549125788,ALL
82,0.03,10,3d,0.3333333333333333,1232,0.5545178571428571,0.014296563607193275,ALL
83,0.03,11,3d,0.4166666666666667,1016,0.5585305118110236,0.01623194990302603,ALL
84,0.03,12,3d,0.5,1224,0.5481772875816994,0.014151214968273738,ALL
85,0.03,13,3d,0.6166666666666667,943,0.5800805938494168,0.01639830129545777,ALL
86,0.03,14,3d,0.7666666666666667,1085,0.607626728110599,0.01510272303614038,ALL
87,0.03,15,3d,0.9333333333333333,1286,0.5741889580093311,0.013918862972788956,ALL
88,0.03,16,3d,1.15,265,0.649120754716981,0.02971676567174978,ALL
89,0.03,17,3d,1.4,157,0.6100382165605095,0.038653895036215365,ALL
90,0.03,18,3d,1.75,122,0.33507377049180326,0.04222934742954925,ALL
91,0.03,19,3d,2.1333333333333333,127,0.614488188976378,0.04363875509016073,ALL
92,0.03,20,3d,2.6333333333333333,156,0.67225,0.03851730117049425,ALL
93,0.03,21,3d,3.2333333333333334,150,0.5532333333333334,0.03926290896590457,ALL
94,0.03,22,3d,3.966666666666667,255,0.6964352941176469,0.027841514209287283,ALL
95,0.03,23,3d,4.866666666666666,304,0.5154078947368421,0.02851677678768961,ALL
96,0.12,0,3d,0.03333333333333333,1124,0.4534822064056939,0.015522364315243477,ALL
97,0.12,1,3d,0.05,1257,0.5640294351630868,0.014559117989237685,ALL
98,0.12,2,3d,0.06666666666666667,1133,0.5276257722859664,0.015486564877518883,ALL
99,0.12,3,3d,0.08333333333333333,816,0.5316139705882352,0.01720113352552948,ALL
100,0.12,4,3d,0.1,838,0.5890859188544152,0.016944347099901298,ALL
101,0.12,5,3d,0.11666666666666667,1408,0.6232336647727272,0.01281477906757031,ALL
102,0.12,6,3d,0.15,941,0.6321668437832093,0.015607486541894531,ALL
103,0.12,7,3d,0.18333333333333332,926,0.6736090712742981,0.015243032800922172,ALL
104,0.12,8,3d,0.21666666666666667,1061,0.6623279924599434,0.014779670924558768,ALL
105,0.12,9,3d,0.26666666666666666,1257,0.7297136038186157,0.012370846917286698,ALL
106,0.12,10,3d,0.3333333333333333,1229,0.6598250610252238,0.012827209747154912,ALL
107,0.12,11,3d,0.4166666666666667,794,0.7189282115869018,0.016124826284718327,ALL
108,0.12,12,3d,0.5,1006,0.7000715705765408,0.014771948809025739,ALL
109,0.12,13,3d,0.6166666666666667,1301,0.7178347425057647,0.012223652020627519,ALL
110,0.12,14,3d,0.7666666666666667,1030,0.7602815533980583,0.013692377225279965,ALL
111,0.12,15,3d,0.9333333333333333,1258,0.7277201907790143,0.012349948141765953,ALL
112,0.12,16,3d,1.15,305,0.7737508196721312,0.02511754738835508,ALL
113,0.12,17,3d,1.4,153,0.7514901960784314,0.0338650166215522,ALL
114,0.12,18,3d,1.75,102,0.6260196078431371,0.045846886485753614,ALL
115,0.12,19,3d,2.1333333333333333,115,0.7734521739130434,0.03966876274087025,ALL
116,0.12,20,3d,2.6333333333333333,155,0.644941935483871,0.03776652692707733,ALL
117,0.12,21,3d,3.2333333333333334,225,0.7597999999999999,0.028979512726007822,ALL
118,0.12,22,3d,3.966666666666667,217,0.6830783410138249,0.03052761486558329,ALL
119,0.12,23,3d,4.866666666666666,319,0.7409467084639498,0.025533738265180204,ALL
120,0.25,0,2d,0.03333333333333333,966,0.5200424430641821,0.015647954855277,ALL
121,0.25,1,2d,0.05,998,0.6181082164328656,0.015087809841177717,ALL
122,0.25,2,2d,0.06666666666666667,944,0.7495911016949153,0.013957853863518561,ALL
123,0.25,3,2d,0.08333333333333333,832,0.8173473557692307,0.013034162387604754,ALL
124,0.25,4,2d,0.1,593,0.8315059021922427,0.015661771689227857,ALL
125,0.25,5,2d,0.11666666666666667,1221,0.8787542997542999,0.009400369243851084,ALL
126,0.25,6,2d,0.15,805,0.9281130434782608,0.00894890612165823,ALL
127,0.25,7,2d,0.18333333333333332,749,0.9251068090787716,0.00953040346462134,ALL
128,0.25,8,2d,0.21666666666666667,781,0.9689871959026889,0.006480413441747833,ALL
129,0.25,9,2d,0.26666666666666666,953,0.9486621196222456,0.0071784526272985595,ALL
130,0.25,10,2d,0.3333333333333333,1023,0.9677575757575757,0.005502773074844547,ALL
131,0.25,11,2d,0.4166666666666667,849,0.9706466431095405,0.005710144974201202,ALL
132,0.25,12,2d,0.5,925,0.9565762162162161,0.006650622071967508,ALL
133,0.25,13,2d,0.6166666666666667,981,0.9837706422018347,0.004024160061166508,ALL
134,0.25,14,2d,0.7666666666666667,815,0.9876588957055215,0.003717977240859374,ALL
135,0.25,15,2d,0.9333333333333333,731,0.9714815321477428,0.006267208557417865,ALL
136,0.25,16,2d,1.15,457,0.9847308533916849,0.005859548771664095,ALL
137,0.25,17,2d,1.4,144,0.9238125,0.022168282354344114,ALL
138,0.25,18,2d,1.75,104,1.0,0.0,ALL
139,0.25,19,2d,2.1333333333333333,146,1.0,0.0,ALL
140,0.25,20,2d,2.6333333333333333,165,1.0,0.0,ALL
141,0.25,21,2d,3.2333333333333334,229,1.0,0.0,ALL
142,0.25,22,2d,3.966666666666667,235,1.0,0.0,ALL
143,0.25,23,2d,4.866666666666666,321,1.0,0.0,ALL
144,0.5,0,2d,0.03333333333333333,681,0.5517327459618209,0.01954181370824743,ALL
145,0.5,1,2d,0.05,1089,0.7009733700642792,0.013494823037040232,ALL
146,0.5,2,2d,0.06666666666666667,771,0.8805616083009082,0.011178427740172203,ALL
147,0.5,3,2d,0.08333333333333333,936,0.9167275641025642,0.009083083704816926,ALL
148,0.5,4,2d,0.1,476,0.9436701680672268,0.010483368401715862,ALL
149,0.5,5,2d,0.11666666666666667,1076,0.9784990706319703,0.004588966387863924,ALL
150,0.5,6,2d,0.15,946,0.9759090909090908,0.004829232421696752,ALL
151,0.5,7,2d,0.18333333333333332,814,0.984034398034398,0.004467964762472459,ALL
152,0.5,8,2d,0.21666666666666667,709,0.9943808180535966,0.0027723641297343763,ALL
153,0.5,9,2d,0.26666666666666666,917,0.9910861504907306,0.0030951696416710033,ALL
154,0.5,10,2d,0.3333333333333333,911,1.0,0.0,ALL
155,0.5,11,2d,0.4166666666666667,781,0.9961523687580026,0.0022674863780007696,ALL
156,0.5,12,2d,0.5,1090,0.9964045871559631,0.0017747447792228685,ALL
157,0.5,13,2d,0.6166666666666667,837,0.9988446833930704,0.001137717830419764,ALL
158,0.5,14,2d,0.7666666666666667,991,0.9898496468213925,0.003207169199922098,ALL
159,0.5,15,2d,0.9333333333333333,744,0.983766129032258,0.004591108166096293,ALL
160,0.5,16,2d,1.15,469,0.9915565031982942,0.004275263552577639,ALL
161,0.5,17,2d,1.4,166,1.0,0.0,ALL
162,0.5,18,2d,1.75,65,1.0,0.0,ALL
163,0.5,19,2d,2.1333333333333333,157,1.0,0.0,ALL
164,0.5,20,2d,2.6333333333333333,161,1.0,0.0,ALL
165,0.5,21,2d,3.2333333333333334,193,0.9793471502590674,0.010158146577748377,ALL
166,0.5,22,2d,3.966666666666667,288,1.0,0.0,ALL
167,0.5,23,2d,4.866666666666666,333,1.0,0.0,ALL
168,0.06,0,2d,0.03333333333333333,948,0.4683396624472574,0.016303071786379037,ALL
169,0.06,1,2d,0.05,1122,0.5081434937611409,0.01478704697642926,ALL
170,0.06,2,2d,0.06666666666666667,911,0.591,0.016184116439920338,ALL
171,0.06,3,2d,0.08333333333333333,728,0.5648269230769231,0.018965746392128235,ALL
172,0.06,4,2d,0.1,742,0.6302843665768194,0.0170370109985228,ALL
173,0.06,5,2d,0.11666666666666667,1071,0.6416311858076562,0.014098231410463945,ALL
174,0.06,6,2d,0.15,861,0.6753368176538909,0.01595437846522292,ALL
175,0.06,7,2d,0.18333333333333332,679,0.70820176730486,0.017879939609853256,ALL
176,0.06,8,2d,0.21666666666666667,1027,0.6741840311587148,0.014323454379126238,ALL
177,0.06,9,2d,0.26666666666666666,836,0.661895933014354,0.015927844573183133,ALL
178,0.06,10,2d,0.3333333333333333,1037,0.6828514946962391,0.014994762901718422,ALL
179,0.06,11,2d,0.4166666666666667,774,0.7456072351421188,0.015071050962542217,ALL
