,A,B,T,bi,dotmode,coh,subj
26,0.9572785073895052,0.5,84.51730881464621,26,3d,0.5,ALL
27,0.958304611842244,0.5,82.71296829213969,27,3d,0.5,ALL
28,0.9610569410618196,0.5,82.09354526091666,28,3d,0.5,ALL
29,0.9567390845167689,0.5,79.07877430270874,29,3d,0.5,ALL
30,0.9609632947824065,0.5,82.97828442153896,30,3d,0.5,ALL
31,0.9604563067408929,0.5,89.39636710584014,31,3d,0.5,ALL
32,0.9577734630339978,0.5,82.64445899845583,32,3d,0.5,ALL
33,0.959225584160963,0.5,85.06231814510697,33,3d,0.5,ALL
34,0.9589854866559543,0.5,81.06048940739564,34,3d,0.5,ALL
35,0.9581986329813467,0.5,84.38331208200069,35,3d,0.5,ALL
36,0.959362945453901,0.5,78.66930368713382,36,3d,0.5,ALL
37,0.957932597793685,0.5,80.33178401912801,37,3d,0.5,ALL
38,0.9601566393730784,0.5,87.49019787935724,38,3d,0.5,ALL
39,0.9575880082876028,0.5,82.17269046297666,39,3d,0.5,ALL
40,0.9603216893423812,0.5,88.03450268891217,40,3d,0.5,ALL
41,0.9616762173644752,0.5,79.80437078079699,41,3d,0.5,ALL
42,0.9589388240993005,0.5,80.67276553840668,42,3d,0.5,ALL
43,0.9595712620843558,0.5,86.57984300875894,43,3d,0.5,ALL
44,0.9569665288409425,0.5,83.316708816143,44,3d,0.5,ALL
45,0.9601532310783674,0.5,85.60101109606411,45,3d,0.5,ALL
46,0.9566285762104739,0.5,78.78664119802453,46,3d,0.5,ALL
47,0.9630830736218305,0.5,86.05865131531277,47,3d,0.5,ALL
48,0.9573334743624891,0.5,79.57626643611596,48,3d,0.5,ALL
49,0.9593471051638945,0.5,85.36210508585901,49,3d,0.5,ALL
0,0.6064796739174666,0.5,1026.1810435544514,0,3d,0.03,ALL
1,0.5650236941130544,0.5,227.47774361095233,1,3d,0.03,ALL
2,0.5470749661590071,0.5,108.15234998450741,2,3d,0.03,ALL
3,0.5684037946555779,0.5,259.39879873330943,3,3d,0.03,ALL
4,0.5657753774007734,0.5,184.60933227754765,4,3d,0.03,ALL
5,0.5776373501155951,0.5,344.54848694377966,5,3d,0.03,ALL
6,0.6057004866968237,0.5,671.2735850253422,6,3d,0.03,ALL
7,0.6137897776638832,0.5,1751.390778539243,7,3d,0.03,ALL
8,0.6186119087775577,0.5,1052.1333612034218,8,3d,0.03,ALL
9,0.6248785926120003,0.5,1175.9792902646354,9,3d,0.03,ALL
10,0.5836536426575103,0.5,463.9354734814804,10,3d,0.03,ALL
11,0.5660309495416553,0.5,203.1492294104395,11,3d,0.03,ALL
12,0.5578121844409042,0.5,229.51498374003464,12,3d,0.03,ALL
13,0.5663877156305347,0.5,379.03481920905506,13,3d,0.03,ALL
14,0.5554306349410268,0.5,272.3049429064714,14,3d,0.03,ALL
15,0.5851081757279157,0.5,551.8091962198956,15,3d,0.03,ALL
16,0.5637736143671784,0.5,347.250676220269,16,3d,0.03,ALL
17,0.5477822162176277,0.5,112.08799120798295,17,3d,0.03,ALL
18,0.5581176058083944,0.5,272.59115001746255,18,3d,0.03,ALL
19,0.6041200813334471,0.5,1334.2728172614025,19,3d,0.03,ALL
20,0.6246116094750768,0.5,1077.8887558942715,20,3d,0.03,ALL
21,0.5880131422733001,0.5,399.3067844280065,21,3d,0.03,ALL
22,0.6428322776592698,0.5,1626.8010541784568,22,3d,0.03,ALL
23,0.5840614939425218,0.5,600.3299397109997,23,3d,0.03,ALL
24,0.5675857422523705,0.5,313.13153193072895,24,3d,0.03,ALL
25,0.5520872313608434,0.5,224.58822537348388,25,3d,0.03,ALL
26,0.5871710052246535,0.5,497.73212666040564,26,3d,0.03,ALL
27,0.5894041239101748,0.5,754.9477872106797,27,3d,0.03,ALL
28,0.5649298105882034,0.5,260.4343388880418,28,3d,0.03,ALL
29,0.5492267596871414,0.5,107.9825507287965,29,3d,0.03,ALL
30,0.5828752748938747,0.5,520.0982331332871,30,3d,0.03,ALL
31,0.5590595904304342,0.5,107.62923654189962,31,3d,0.03,ALL
32,0.5556175263551292,0.5,170.27128732984949,32,3d,0.03,ALL
33,0.5922810726318427,0.5,680.6781535171378,33,3d,0.03,ALL
34,0.5832703061099553,0.5,480.51210905791703,34,3d,0.03,ALL
35,0.5644631717673219,0.5,282.15325018792475,35,3d,0.03,ALL
36,0.5576532837021525,0.5,107.39160619443552,36,3d,0.03,ALL
37,0.6279193917170687,0.5,1017.7732855326145,37,3d,0.03,ALL
38,0.5482748342748992,0.5,174.1816827354335,38,3d,0.03,ALL
39,0.5724618111913232,0.5,412.65932373216185,39,3d,0.03,ALL
40,0.5814335000107995,0.5,601.004690862681,40,3d,0.03,ALL
41,0.6153634767400565,0.5,1075.8357101819704,41,3d,0.03,ALL
42,0.6234559041444406,0.5,1287.5408828065351,42,3d,0.03,ALL
43,0.5850613257919557,0.5,715.3149356234254,43,3d,0.03,ALL
44,0.5893069105756267,0.5,1003.9249716288359,44,3d,0.03,ALL
