,di,is_bin_or_fit,ntrials,xs,ys,dotmode,coh,subj
1,2.0,fit,,50.0,0.5247274466138614,3d,0.12,ALL
2,4.0,fit,,66.66666666666667,0.5433095605152046,3d,0.12,ALL
3,5.0,fit,,83.33333333333333,0.5602271323252019,3d,0.12,ALL
4,6.0,fit,,100.0,0.5756292678123665,3d,0.12,ALL
5,7.0,fit,,116.66666666666667,0.5896517162008987,3d,0.12,ALL
6,7.0,fit,,133.33333333333334,0.6024180666185347,3d,0.12,ALL
7,8.0,fit,,150.0,0.6140408373694088,3d,0.12,ALL
8,8.0,fit,,166.66666666666666,0.6246224676324134,3d,0.12,ALL
9,9.0,fit,,183.33333333333331,0.6342562203255488,3d,0.12,ALL
10,9.0,fit,,200.0,0.6430270040938096,3d,0.12,ALL
11,10.0,fit,,216.66666666666669,0.6510121216653246,3d,0.12,ALL
12,10.0,fit,,233.33333333333334,0.658281951171515,3d,0.12,ALL
13,10.0,fit,,250.0,0.6649005664361929,3d,0.12,ALL
14,11.0,fit,,266.6666666666667,0.6709263017006203,3d,0.12,ALL
15,11.0,fit,,283.3333333333333,0.676412265761825,3d,0.12,ALL
16,11.0,fit,,300.0,0.6814068100556143,3d,0.12,ALL
17,11.0,fit,,316.66666666666663,0.6859539548098117,3d,0.12,ALL
18,12.0,fit,,333.3333333333333,0.6900937770236893,3d,0.12,ALL
19,12.0,fit,,350.0,0.6938627636931143,3d,0.12,ALL
20,12.0,fit,,366.66666666666663,0.6972941333946157,3d,0.12,ALL
21,12.0,fit,,383.33333333333337,0.7004181290627083,3d,0.12,ALL
22,12.0,fit,,400.0,0.7032622845409101,3d,0.12,ALL
23,13.0,fit,,416.6666666666667,0.7058516672557474,3d,0.12,ALL
24,13.0,fit,,433.33333333333337,0.708209099152592,3d,0.12,ALL
25,13.0,fit,,450.0,0.7103553578405857,3d,0.12,ALL
26,13.0,fit,,466.6666666666667,0.7123093597194752,3d,0.12,ALL
27,13.0,fit,,483.3333333333333,0.7140883267023755,3d,0.12,ALL
28,14.0,fit,,500.0,0.7157079380039,3d,0.12,ALL
29,14.0,fit,,516.6666666666667,0.7171824683314664,3d,0.12,ALL
30,14.0,fit,,533.3333333333334,0.7185249136977505,3d,0.12,ALL
31,14.0,fit,,550.0,0.7197471059631563,3d,0.12,ALL
32,14.0,fit,,566.6666666666666,0.7208598171178399,3d,0.12,ALL
33,14.0,fit,,583.3333333333334,0.7218728542223957,3d,0.12,ALL
34,14.0,fit,,600.0,0.722795145843979,3d,0.12,ALL
35,15.0,fit,,616.6666666666667,0.7236348207496831,3d,0.12,ALL
36,15.0,fit,,633.3333333333333,0.7243992795507496,3d,0.12,ALL
37,15.0,fit,,650.0,0.7250952599290581,3d,0.12,ALL
38,15.0,fit,,666.6666666666666,0.7257288960207802,3d,0.12,ALL
39,15.0,fit,,683.3333333333334,0.7263057724805859,3d,0.12,ALL
40,15.0,fit,,700.0,0.7268309737029052,3d,0.12,ALL
41,15.0,fit,,716.6666666666666,0.727309128634064,3d,0.12,ALL
42,15.0,fit,,733.3333333333333,0.727744451570256,3d,0.12,ALL
43,15.0,fit,,750.0,0.7281407793009258,3d,0.12,ALL
44,16.0,fit,,766.6666666666667,0.7285016049249369,3d,0.12,ALL
45,16.0,fit,,783.3333333333334,0.7288301086375664,3d,0.12,ALL
46,16.0,fit,,800.0,0.7291291857596724,3d,0.12,ALL
47,16.0,fit,,816.6666666666666,0.7294014722560753,3d,0.12,ALL
48,16.0,fit,,850.0,0.7298750577647765,3d,0.12,ALL
49,16.0,fit,,866.6666666666667,0.7300805307999206,3d,0.12,ALL
50,16.0,fit,,883.3333333333333,0.7302675980434822,3d,0.12,ALL
51,16.0,fit,,900.0,0.7304379082430134,3d,0.12,ALL
52,16.0,fit,,916.6666666666666,0.7305929624551359,3d,0.12,ALL
53,17.0,fit,,933.3333333333334,0.730734127275347,3d,0.12,ALL
54,17.0,fit,,950.0,0.7308626468827312,3d,0.12,ALL
55,17.0,fit,,966.6666666666666,0.7309796540057343,3d,0.12,ALL
56,17.0,fit,,983.3333333333333,0.7310861799056505,3d,0.12,ALL
57,17.0,fit,,1000.0,0.7311831634658109,3d,0.12,ALL
58,17.0,fit,,1016.6666666666666,0.7312714594665842,3d,0.12,ALL
59,17.0,fit,,1033.3333333333335,0.7313518461191226,3d,0.12,ALL
60,17.0,fit,,1050.0,0.7314250319242526,3d,0.12,ALL
61,17.0,fit,,1066.6666666666667,0.7314916619169611,3d,0.12,ALL
62,17.0,fit,,1083.3333333333333,0.7315523233515177,3d,0.12,ALL
63,17.0,fit,,1116.6666666666667,0.731657831251184,3d,0.12,ALL
64,17.0,fit,,1133.3333333333333,0.7317036076273142,3d,0.12,ALL
65,18.0,fit,,1150.0,0.731745283463255,3d,0.12,ALL
66,18.0,fit,,1166.6666666666667,0.7317832260757593,3d,0.12,ALL
67,18.0,fit,,1183.3333333333333,0.7318177698782087,3d,0.12,ALL
68,18.0,fit,,1216.6666666666665,0.73187785161003,3d,0.12,ALL
69,18.0,fit,,1233.3333333333335,0.7319039190795097,3d,0.12,ALL
70,18.0,fit,,1250.0,0.7319276514863374,3d,0.12,ALL
71,18.0,fit,,1266.6666666666665,0.7319492579999378,3d,0.12,ALL
72,18.0,fit,,1300.0,0.7319868380190349,3d,0.12,ALL
73,18.0,fit,,1316.6666666666667,0.7320031427421372,3d,0.12,ALL
74,18.0,fit,,1350.0,0.732031501403645,3d,0.12,ALL
75,18.0,fit,,1366.6666666666667,0.7320438052857224,3d,0.12,ALL
76,18.0,fit,,1383.3333333333333,0.7320550070149602,3d,0.12,ALL
77,19.0,fit,,1433.3333333333333,0.7320829431412286,3d,0.12,ALL
78,19.0,fit,,1450.0,0.7320906389933524,3d,0.12,ALL
79,19.0,fit,,1466.6666666666665,0.7320976454691298,3d,0.12,ALL
80,19.0,fit,,1533.3333333333335,0.7321199326167843,3d,0.12,ALL
81,19.0,fit,,1550.0,0.732124315038621,3d,0.12,ALL
82,19.0,fit,,1583.3333333333333,0.7321319373463824,3d,0.12,ALL
83,19.0,fit,,1600.0,0.7321352444127553,3d,0.12,ALL
84,20.0,fit,,1816.6666666666667,0.7321589327553737,3d,0.12,ALL
85,20.0,fit,,1850.0,0.7321606308936565,3d,0.12,ALL
86,20.0,fit,,1866.6666666666667,0.7321613676595006,3d,0.12,ALL
87,20.0,fit,,1883.3333333333333,0.732162038427592,3d,0.12,ALL
88,20.0,fit,,2100.0,0.7321668431041762,3d,0.12,ALL
89,21.0,fit,,2133.3333333333335,0.7321671875354172,3d,0.12,ALL
90,21.0,fit,,2150.0,0.7321673369727019,3d,0.12,ALL
91,21.0,fit,,2183.333333333333,0.732167596887657,3d,0.12,ALL
92,21.0,fit,,2383.3333333333335,0.7321684475502229,3d,0.12,ALL
93,21.0,fit,,2416.6666666666665,0.732168517410776,3d,0.12,ALL
94,21.0,fit,,2433.333333333333,0.7321685477209516,3d,0.12,ALL
95,21.0,fit,,2466.666666666667,0.7321686004391733,3d,0.12,ALL
96,22.0,fit,,2683.333333333333,0.7321687803950515,3d,0.12,ALL
97,22.0,fit,,2700.0,0.7321687871477137,3d,0.12,ALL
98,22.0,fit,,2716.666666666667,0.7321687932954883,3d,0.12,ALL
99,22.0,fit,,2750.0,0.7321688039882586,3d,0.12,ALL
100,22.0,fit,,2966.666666666667,0.7321688404884819,3d,0.12,ALL
101,22.0,fit,,2983.3333333333335,0.7321688418581158,3d,0.12,ALL
102,22.0,fit,,3016.6666666666665,0.732168844240308,3d,0.12,ALL
103,22.0,fit,,3033.333333333333,0.7321688452738622,3d,0.12,ALL
104,23.0,fit,,3250.0,0.7321688526771564,3d,0.12,ALL
105,23.0,fit,,3266.6666666666665,0.7321688529549575,3d,0.12,ALL
106,23.0,fit,,3300.0,0.7321688534381345,3d,0.12,ALL
107,23.0,fit,,3316.666666666667,0.732168853647769,3d,0.12,ALL
108,23.0,fit,,3533.333333333333,0.7321688551493698,3d,0.12,ALL
109,23.0,fit,,3566.666666666667,0.7321688552570146,3d,0.12,ALL
110,23.0,fit,,3583.3333333333335,0.732168855303718,3d,0.12,ALL
111,23.0,fit,,3600.0,0.7321688553462379,3d,0.12,ALL
112,23.0,fit,,3816.666666666667,0.7321688556508057,3d,0.12,ALL
113,23.0,fit,,3850.0,0.7321688556726391,3d,0.12,ALL
114,23.0,fit,,3866.6666666666665,0.732168855682112,3d,0.12,ALL
115,23.0,fit,,3900.0,0.7321688556985879,3d,0.12,ALL
116,24.0,fit,,4100.0,0.7321688557525113,3d,0.12,ALL
117,24.0,fit,,4133.333333333334,0.7321688557569398,3d,0.12,ALL
118,24.0,fit,,4150.0,0.7321688557588611,3d,0.12,ALL
119,24.0,fit,,4183.333333333334,0.7321688557622029,3d,0.12,ALL
120,24.0,fit,,4400.0,0.7321688557736103,3d,0.12,ALL
121,24.0,fit,,4416.666666666667,0.7321688557740383,3d,0.12,ALL
122,24.0,fit,,4433.333333333334,0.732168855774428,3d,0.12,ALL
123,24.0,fit,,4466.666666666667,0.7321688557751059,3d,0.12,ALL
124,24.0,fit,,4683.333333333334,0.7321688557774196,3d,0.12,ALL
125,24.0,fit,,4700.0,0.7321688557775065,3d,0.12,ALL
126,24.0,fit,,4733.333333333333,0.7321688557776574,3d,0.12,ALL
127,24.0,fit,,4750.0,0.732168855777723,3d,0.12,ALL
128,25.0,fit,,4966.666666666667,0.7321688557781922,3d,0.12,ALL
129,25.0,fit,,4983.333333333333,0.7321688557782099,3d,0.12,ALL
130,25.0,fit,,5016.666666666667,0.7321688557782405,3d,0.12,ALL
131,25.0,fit,,5033.333333333333,0.7321688557782537,3d,0.12,ALL
132,25.0,fit,,5250.0,0.732168855778349,3d,0.12,ALL
133,25.0,fit,,5283.333333333333,0.7321688557783558,3d,0.12,ALL
134,25.0,fit,,5300.0,0.7321688557783588,3d,0.12,ALL
135,25.0,fit,,5316.666666666666,0.7321688557783614,3d,0.12,ALL
136,25.0,fit,,5533.333333333333,0.7321688557783808,3d,0.12,ALL
137,25.0,fit,,5566.666666666666,0.7321688557783822,3d,0.12,ALL
138,25.0,fit,,5583.333333333333,0.7321688557783828,3d,0.12,ALL
139,25.0,fit,,5616.666666666666,0.7321688557783838,3d,0.12,ALL
140,25.0,fit,,5816.666666666666,0.7321688557783872,3d,0.12,ALL
141,25.0,fit,,5850.0,0.7321688557783875,3d,0.12,ALL
142,25.0,fit,,5866.666666666666,0.7321688557783876,3d,0.12,ALL
143,25.0,fit,,5900.0,0.7321688557783879,3d,0.12,ALL
0,1.0,bin,746.0,40.00000000000001,0.5053619302949062,3d,0.5,ALL
1,2.0,bin,1075.0,50.12785914528975,0.5944186046511628,3d,0.5,ALL
2,4.0,bin,759.0,66.69461096226564,0.6258234519104084,3d,0.5,ALL
3,5.0,bin,1040.0,83.33353591698499,0.7298076923076923,3d,0.5,ALL
4,6.0,bin,558.0,100.1958384875157,0.7867383512544803,3d,0.5,ALL
5,7.0,bin,1175.0,116.68188870368775,0.8170212765957446,3d,0.5,ALL
6,8.0,bin,1156.0,150.01312461458272,0.8373702422145328,3d,0.5,ALL
7,9.0,bin,876.0,183.81283095738388,0.8641552511415526,3d,0.5,ALL
8,10.0,bin,807.0,216.767903861656,0.8649318463444857,3d,0.5,ALL
9,11.0,bin,1087.0,267.41035372880316,0.9337626494940202,3d,0.5,ALL
10,12.0,bin,983.0,333.91334991057346,0.9359104781281791,3d,0.5,ALL
11,13.0,bin,933.0,418.22620295452714,0.9496248660235799,3d,0.5,ALL
12,14.0,bin,1127.0,500.4942833271253,0.9476486246672582,3d,0.5,ALL
13,15.0,bin,928.0,618.2486462735641,0.9525862068965517,3d,0.5,ALL
14,16.0,bin,1048.0,767.1924810001431,0.9398854961832062,3d,0.5,ALL
15,17.0,bin,904.0,935.676204214544,0.9557522123893806,3d,0.5,ALL
16,18.0,bin,636.0,1151.67483057786,0.9559748427672956,3d,0.5,ALL
17,19.0,bin,207.0,1400.6780013184991,0.9855072463768116,3d,0.5,ALL
18,20.0,bin,73.0,1754.8117154811716,0.9452054794520548,3d,0.5,ALL
19,21.0,bin,126.0,2136.4016736401672,0.9920634920634921,3d,0.5,ALL
20,22.0,bin,121.0,2637.2384937238494,0.9752066115702479,3d,0.5,ALL
21,23.0,bin,171.0,3233.47280334728,0.9883040935672515,3d,0.5,ALL
22,24.0,bin,202.0,3972.803347280335,0.8910891089108911,3d,0.5,ALL
23,25.0,bin,254.0,4879.07949790795,0.9881889763779528,3d,0.5,ALL
0,1.0,fit,,33.333333333333336,0.5180370698974499,3d,0.5,ALL
1,2.0,fit,,50.0,0.5981367616329295,3d,0.5,ALL
2,4.0,fit,,66.66666666666667,0.6636950125064891,3d,0.5,ALL
3,5.0,fit,,83.33333333333333,0.7173517016207728,3d,0.5,ALL
4,6.0,fit,,100.0,0.7612674597190112,3d,0.5,ALL
5,7.0,fit,,116.66666666666667,0.7972106727867294,3d,0.5,ALL
6,7.0,fit,,133.33333333333334,0.8266286908644636,3d,0.5,ALL
7,8.0,fit,,150.0,0.8507061094856484,3d,0.5,ALL
